COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
351390,Divinolândia,266,17.95,1.5,1617.77,1,11158,23.84,49.609130238612124,5.361916218256232,2
352450,Jaci,180,24.41,1.11,2086.81,1,7613,23.64,33.84784983926816,5.317915343360312,2
352750,Lucianópolis,29,3.83,0.0,1144.26,0,2372,12.23,10.546052780604763,2.7498440035625347,2
351080,Casa Branca,340,12.51,2.94,986.24,1,28083,12.11,124.85868475452091,2.723078500053551,2
351940,Ibirá,139,5.41,6.47,2472.68,1,11690,11.89,51.97443381335147,2.6743918076947466,2
350940,Cajuru,282,4.7,3.19,1480.76,1,23830,11.83,105.94959433465915,2.6616430366807897,2
355695,Vitória Brasil,21,4.62,4.76,1401.7,0,1794,11.71,7.97623047571878,2.632822617642274,2
353215,Nantes,31,4.61,6.45,1723.62,0,2660,11.65,11.82651787369674,2.6212280175001332,2
351512,Emilianópolis,35,2.97,0.0,833.81,0,3014,11.61,13.400422883955631,2.6118578721799603,2
355590,Uru,16,6.25,6.25,2515.12,0,1387,11.54,6.1666843198561585,2.5945871671234193,2
350100,Altinópolis,193,4.33,6.74,1200.83,1,16818,11.48,74.7738261653503,2.581117081974801,2
353300,Nova Granada,221,4.97,1.36,1566.54,1,19419,11.38,86.33802653733723,2.5597064105284786,2
355460,Timburi,28,6.5,0.0,2170.21,0,2464,11.36,10.955090240898034,2.5558894892046755,2
354550,Sandovalina,41,5.98,0.0,875.72,0,3645,11.25,16.20588633444535,2.529944931975437,2
354323,Ribeirão dos Índios,22,7.77,4.55,1883.94,0,2025,10.86,9.00327018580297,2.443556568444569,2
350890,Caiabu,40,5.45,7.5,1442.65,0,3712,10.78,16.50377231096327,2.4236883087285714,2
351535,Euclides da Cunha Paulista,85,4.28,7.06,1047.35,0,7924,10.73,35.23057429743345,2.4126771049029494,2
355570,União Paulista,17,5.06,17.65,1154.24,0,1603,10.61,7.127033139675142,2.3852842644106014,2
351519,Espírito Santo do Turvo,44,4.34,6.82,2105.26,0,4157,10.58,18.48226872216442,2.3806601159972343,2
351900,Herculândia,96,4.73,5.21,1000.96,1,9125,10.52,40.57029157800104,2.3662634964165585,2
354770,Santo Anastácio,188,4.6,5.32,1022.96,1,17963,10.47,79.86456412226111,2.3539851756055308,2
354830,Santo Expedito,31,6.26,3.23,1118.57,0,3000,10.33,13.338178053041439,2.324155508850118,2
354790,Santo Antônio da Alegria,70,4.2,2.86,2162.67,1,6775,10.33,30.12205210311858,2.323878856605284,2
354425,Rosana,180,6.24,8.89,971.42,1,17440,10.32,77.5392750816809,2.321404214965714,2
353520,Palmeira d'Oeste,91,3.01,4.4,746.58,1,8903,10.22,39.58326640207598,2.2989512557060583,2
352910,Marinópolis,19,7.11,5.26,4079.75,0,1860,10.22,8.269670392885692,2.2975522720162456,2
355715,Zacarias,27,6.07,7.41,2004.27,0,2692,10.03,11.968791772929183,2.255866800278718,2
350830,Cabrália Paulista,43,3.16,4.65,598.12,0,4299,10.0,19.113609150008383,2.249705937927539,2
353140,Monte Aprazível,220,4.07,2.27,1335.96,1,22280,9.87,99.05820234058774,2.220916539991136,2
355340,Tanabi,245,4.82,6.12,1958.82,1,25265,9.7,112.32968950336398,2.1810796511875243,2
354120,Presidente Bernardes,139,4.28,5.04,1109.99,1,14490,9.59,64.42339999619014,2.157601120217501,2
354625,Santa Cruz da Esperança,20,3.6,5.0,1271.65,0,2116,9.45,9.407861586745229,2.1258816167297865,2
350020,Adolfo,41,5.49,17.07,1903.41,0,4351,9.42,19.344804236261098,2.1194321482533827,1
354540,Salto Grande,85,3.66,8.24,1118.4,1,9050,9.39,40.236837126675006,2.1124920861050795,2
354900,São Francisco,24,3.25,4.17,949.54,0,2602,9.22,11.56864643133794,2.074572867486654,2
354025,Pontalinda,38,2.61,10.53,850.8,0,4127,9.21,18.348886941634007,2.070970305767006,0
354010,Pongaí,31,6.26,6.45,2501.03,0,3395,9.13,15.094371496691894,2.0537456631959805,2
352040,Ilhabela,316,3.61,4.11,1079.32,1,34934,9.05,155.31863736831653,2.0345272489781765,2
353260,Nhandeara,88,7.53,12.5,1497.98,2,9852,8.93,43.802576726188086,2.009014231059785,2
355720,Chavantes,109,3.18,6.42,795.7,1,12211,8.93,54.29083073522967,2.007705509823212,0
355080,São Sebastião da Grama,93,5.28,6.45,1341.03,1,10441,8.91,46.42130568393522,2.003390439579644,2
