"COD_ESPECIALIDADE","ESPECIALIDADE","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT"
"03","Clínica Médica",77126,6.8,15.32
"01","Clínica Cirúrgica",57379,4.02,2.84
"02","Obstetrícia",30671,2.69,0.03
"07","Pediatria",16360,6.71,1.96
"09","Hospital-Dia",8541,0.17,0.01
"05","Psiquiatria",4903,18.73,0.12
"04","Cuidados Prolongados (Crônicos)",2850,28.99,4.28
"12","Leito Dia - Fibrose Cística",405,11.24,0.25
"06","Pneumologia Sanitária (Tisiologia)",261,22.54,3.45
"87","Outros/Não classificado",236,9.89,1.27
"14","Leito Dia - Geriatria",115,27.22,0
"10","Leito Dia - AIDS",78,9.46,0
"08","Reabilitação",68,22.12,0
"13","Leito Dia - Intercorrência Pós-Transplante",54,4.78,0
"17","Outros/Não classificado",23,5.65,13.04
