"COD_MUNICIPIO","MUNICIPIO","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT","VALOR_MEDIO_INTERNACAO","QTD_ESTAB_HOSPITALARES","POPULACAO","INTERNACOES_POR_MIL_HAB"
"353760","Peruíbe",263,5.55,11.03,1472.34,0,68352,3.85
"350190","Amparo",336,6.09,10.71,1931.03,0,68008,4.94
"351020","Capão Bonito",261,3.5,10.73,1310.42,0,46337,5.63
"350660","Biritiba Mirim",136,5.42,11.03,1676.72,0,29683,4.58
"353600","Parapuã",57,7.28,8.77,1149.48,0,10580,5.39
"353510","Palmares Paulista",42,5.17,0,1609.76,0,9650,4.35
"355490","Três Fronteiras",37,5.41,0,2607.27,0,6804,5.44
"355420","Tejupá",14,3.57,7.14,516.1,0,4127,3.39
"351620","Franca",1557,5.87,8.09,1930.25,0,352536,4.42
"352690","Limeira",907,4.31,6.62,2156.48,0,291869,3.11
"352470","Jaguariúna",292,5.75,4.45,1890.46,0,59347,4.92
"353550","Paraguaçu Paulista",227,5.07,9.25,1666.13,0,41120,5.52
"353640","Paulicéia",38,6.37,5.26,1234.85,0,7955,4.78
"352870","Marabá Paulista",33,6.15,15.15,1698.59,0,4573,7.22
"351420","Dolcinópolis",12,9.17,25,3723.93,0,2207,5.44
"352260","Itapira",459,7.54,10.02,1747.14,0,72022,6.37
"354410","Rio Grande da Serra",150,5.41,2.67,1977.24,0,44170,3.4
"351220","Conchal",148,3.84,6.08,741.36,0,28101,5.27
"352140","Iracemápolis",47,5.91,4.26,2468.92,0,21967,2.14
"355300","Taguaí",97,3.4,7.22,1419.74,0,12669,7.66
"350690","Bofete",57,5.72,8.77,4072.46,0,10460,5.45
"350535","Barra do Chapéu",29,3.79,13.79,990.69,0,5179,5.6
"350995","Canas",31,3.74,19.35,674.29,0,4931,6.29
"350730","Boracéia",23,5.78,4.35,2557.63,0,4715,4.88
"350820","Buritizal",15,2.47,0,616.77,0,4356,3.44
"353210","Murutinga do Sul",19,5.84,5.26,1674.58,0,3737,5.08
"354340","Ribeirão Preto",3085,5.36,5.64,2015.7,0,698642,4.42
"350850","Caçapava",249,4.29,6.43,1502.22,0,96202,2.59
"350390","Arujá",334,6.16,5.99,2135.52,0,86678,3.85
